Position_previous,GP_previous,G_previous,A_previous,PTS_previous,+/-_previous,TOI_previous,IPP%_previous,Shots_previous,Shots_missed_previous,Shots_cbar_previous,Shots_post_previous,Team_previous,Position_next,GP_next,G_next,A_next,PTS_next,+/-_next,TOI_next,IPP%_next,Shots_next,Shots_missed_next,Shots_cbar_next,Shots_post_next,Team_next,latest_PTS,latest_+/-,latest_A,latest_G,latest_TOI
2,82,19,23,42,-16,90703,68.9,155,51,1,1,38,2,64,7,14,21,-20,63969,61.8,104,36,0,0,38,35,-11,22,13,74479
0,19,0,1,1,-4,11277,100.0,18,6,0,0,30,0,29,2,3,5,3,18047,55.6,23,8,0,0,30,11,-6,1,10,46487
2,2,0,0,0,-2,1626,0.0,3,0,0,0,34,2,7,1,2,3,0,5366,75.0,17,7,0,0,52,1,-1,1,0,3613
1,82,4,17,21,14,105165,41.2,75,40,0,0,58,1,82,3,10,13,23,97371,21.0,81,39,0,1,58,12,-7,11,1,98796
3,12,1,3,4,0,7703,80.0,11,5,0,0,33,3,78,17,12,29,12,56253,69.0,119,39,1,1,33,30,-1,11,19,68183
2,60,8,2,10,1,31655,66.7,46,21,0,0,41,2,36,0,2,2,-2,22888,33.3,38,17,1,1,41,9,-6,6,3,25352
3,44,7,10,17,1,37271,63.0,74,27,0,0,43,3,46,7,17,24,1,38550,85.7,68,22,0,1,36,22,-15,14,8,43459
0,77,20,22,42,8,83571,53.8,121,41,0,0,35,0,64,22,23,45,9,68529,66.2,105,33,0,2,35,31,-17,11,20,72527
3,1,0,0,0,0,302,0.0,0,0,0,0,50,3,10,3,0,3,3,6519,50.0,11,9,0,0,50,11,-2,6,5,30102
3,43,4,6,10,2,31376,66.7,52,16,0,1,57,3,57,10,9,19,-8,51769,67.9,111,27,1,4,57,29,3,17,12,59731
2,56,8,8,16,-8,41668,80.0,139,36,0,1,45,2,80,31,30,61,16,82343,71.8,246,89,0,6,45,61,20,32,29,83062
0,37,9,5,14,1,20019,93.3,53,18,0,0,38,0,64,18,11,29,-7,51703,72.5,120,58,1,2,38,33,-15,17,16,65238
3,81,27,26,53,-8,86499,80.3,226,76,0,3,33,3,82,35,27,62,13,88972,69.7,240,61,0,2,33,46,19,22,24,73716
0,79,21,24,45,4,91151,67.2,168,58,0,2,52,3,74,17,21,38,2,76007,58.5,175,65,0,1,30,33,2,19,14,52652
0,82,21,26,47,10,80831,75.8,155,55,1,1,34,0,81,22,31,53,9,85565,67.1,197,69,1,5,34,45,-21,31,14,93593
0,75,20,50,70,17,86318,88.6,129,46,0,1,58,0,82,23,63,86,17,89839,84.3,162,52,0,5,58,71,5,50,21,95550
2,69,15,13,28,-14,55717,77.8,108,41,1,1,55,2,68,18,17,35,-6,64773,67.3,114,35,0,0,55,29,3,15,14,49626
