Rank,Team,Points,Playoffs
1,Nashville Predators,117,1
2,Winnipeg Jets,114,1
3,Tampa Bay Lightning,113,1
4,Boston Bruins,112,1
5,Vegas Golden Knights,109,1
6,Toronto Maple Leafs,105,1
7,Washington Capitals,105,1
8,Minnesota Wild,101,1
9,Anaheim Ducks,101,1
10,Pittsburgh Penguins,100,1
11,San Jose Sharks,100,1
12,Los Angeles Kings,98,1
13,Philadelphia Flyers,98,1
14,Columbus Blue Jackets,97,1
15,New Jersey Devils,97,1
16,Florida Panthers,96,0
17,Colorado Avalanche,95,1
18,St. Louis Blues,94,0
19,Dallas Stars,92,0
20,Calgary Flames,84,0
21,Carolina Hurricanes,83,0
22,New York Islanders,80,0
23,Edmonton Oilers,78,0
24,New York Rangers,77,0
25,Chicago Blackhawks,76,0
26,Vancouver Canucks,73,0
27,Detroit Red Wings,73,0
28,Montreal Canadiens,71,0
29,Arizona Coyotes,70,0
30,Ottawa Senators,67,0
31,Buffalo Sabres,62,0
